year,exporter,flow,importer,resource,weight (kg),value (US$),exporterISO,importerISO,exporter continent,importer continent
2024,Netherlands,Export,Cyprus,Oil,27458.0,18766.312,NLD,CYP,Europe,Asia
2024,Netherlands,Export,Czechia,Oil,7387.0,4946.479,NLD,CZE,Europe,Europe
2024,Netherlands,Export,Denmark,Oil,12000.0,7977.144,NLD,DNK,Europe,Europe
2024,Netherlands,Export,Estonia,Oil,1554.0,1036.92,NLD,EST,Europe,Europe
2024,Netherlands,Export,Finland,Oil,2956.0,1951.532,NLD,FIN,Europe,Europe
2024,Netherlands,Export,France,Oil,52197642.0,29658629.534,NLD,FRA,Europe,Europe
2024,Netherlands,Export,Germany,Oil,13161365000.0,7998792642.815,NLD,DEU,Europe,Europe
2024,Netherlands,Export,Greece,Oil,3504.0,2392.061,NLD,GRC,Europe,Europe
2024,Netherlands,Export,Hungary,Oil,2828.0,1916.896,NLD,HUN,Europe,Europe
2024,Netherlands,Export,Ireland,Oil,24096.0,22521.09,NLD,IRL,Europe,Europe
2024,Netherlands,Export,Italy,Oil,23741.0,15927.228,NLD,ITA,Europe,Europe
2024,Netherlands,Export,Latvia,Oil,1385.0,951.412,NLD,LVA,Europe,Europe
