year,exporter,flow,importer,resource,weight (kg),value (US$),exporterISO,importerISO,exporter continent,importer continent
2024,Czechia,Export,Turkmenistan,Oil,2.0,15.0,CZE,TKM,Europe,Asia
2024,Denmark,Export,Belgium,Oil,26817200.0,17485446.206,DNK,BEL,Europe,Europe
2024,Denmark,Export,Faeroe Isds,Oil,1372.0,7578.815,DNK,FRO,Europe,Europe
2024,Denmark,Export,Finland,Oil,111193000.0,61044092.345,DNK,FIN,Europe,Europe
2024,Denmark,Export,France,Oil,21258010.0,12959926.325,DNK,FRA,Europe,Europe
2024,Denmark,Export,Germany,Oil,24022300.0,13712546.956,DNK,DEU,Europe,Europe
2024,Denmark,Export,Ghana,Oil,0.0,912.759,DNK,GHA,Europe,Africa
2024,Denmark,Export,Netherlands,Oil,229007095.0,133235554.401,DNK,NLD,Europe,Europe
2024,Denmark,Export,Norway,Oil,629.0,3399.385,DNK,NOR,Europe,Europe
2024,Denmark,Export,Sweden,Oil,270477700.0,157740679.05,DNK,SWE,Europe,Europe
2024,Denmark,Export,United Kingdom,Oil,65520.494,40615.527,DNK,GBR,Europe,Europe
2024,Canada,Export,China,Gas,2152826.0,471641.571,CAN,CHN,North America,Asia
2024,Canada,Export,Mexico,Gas,10321520.0,2621790.886,CAN,MEX,North America,North America
2024,Canada,Export,USA,Gas,2221000.0,355698.339,CAN,USA,North America,North America
2024,Czechia,Export,Slovakia,Gas,31.82,19.0,CZE,SVK,Europe,Europe
2024,Georgia,Export,China,Coal,122446.0,18266.76,GEO,CHN,Asia,Asia
2024,Georgia,Export,Estonia,Coal,12.0,10.734,GEO,EST,Asia,Europe
2024,Germany,Export,Austria,Coal,319531566.0,65309027.216,DEU,AUT,Europe,Europe
2024,Germany,Export,Bahrain,Coal,5900.0,9200.234,DEU,BHR,Europe,Asia
2024,Germany,Export,Belgium,Coal,26496383.0,4029724.1,DEU,BEL,Europe,Europe
2024,Germany,Export,Dem. Rep. of the Congo,Coal,3479.0,7319.057,DEU,COD,Europe,Africa
2024,Germany,Export,Croatia,Coal,24401.0,52893.768,DEU,HRV,Europe,Europe
2024,Germany,Export,Czechia,Coal,8763.0,11494.88,DEU,CZE,Europe,Europe
2024,Germany,Export,Denmark,Coal,63455560.0,4050402.979,DEU,DNK,Europe,Europe
2024,Germany,Export,Estonia,Coal,81620.0,294853.426,DEU,EST,Europe,Europe
2024,Germany,Export,Finland,Coal,3931451.0,557923.832,DEU,FIN,Europe,Europe
2024,Germany,Export,France,Coal,9725834.0,4836419.01,DEU,FRA,Europe,Europe
2024,Germany,Export,Gabon,Coal,3032.0,7169.688,DEU,GAB,Europe,Africa
2024,Germany,Export,Greece,Coal,11730.0,13106.545,DEU,GRC,Europe,Europe
