Year,Price,Country,Fuel,countryISO
2022,1249.02,Austria,Petrol,AUT
2022,1262.4,Austria,Petrol,AUT
2022,1251.56,Austria,Petrol,AUT
2022,1217.4,Austria,Petrol,AUT
2022,1167.4,Austria,Petrol,AUT
2022,1032.4,Austria,Petrol,AUT
2022,1017.4,Austria,Petrol,AUT
2022,989.06,Austria,Petrol,AUT
2022,973.23,Austria,Petrol,AUT
2022,954.06,Austria,Petrol,AUT
2022,943.23,Austria,Petrol,AUT
2022,918.23,Austria,Petrol,AUT
2022,940.73,Austria,Petrol,AUT
2022,974.06,Austria,Petrol,AUT
2022,959.06,Austria,Petrol,AUT
2022,1166.56,Austria,Petrol,AUT
2022,919.9,Austria,Petrol,AUT
2022,784.06,Austria,Petrol,AUT
2022,742.4,Austria,Petrol,AUT
2022,735.73,Austria,Petrol,AUT
2022,721.56,Austria,Petrol,AUT
2022,709.9,Austria,Petrol,AUT
2022,699.9,Austria,Petrol,AUT
2022,692.4,Austria,Petrol,AUT
2022,682.4,Austria,Petrol,AUT
2022,673.23,Austria,Petrol,AUT
2021,675.73,Austria,Petrol,AUT
2021,674.9,Austria,Petrol,AUT
2021,681.56,Austria,Petrol,AUT
2021,699.06,Austria,Petrol,AUT
2021,698.23,Austria,Petrol,AUT
2021,709.06,Austria,Petrol,AUT
2021,699.9,Austria,Petrol,AUT
2021,685.73,Austria,Petrol,AUT
2021,680.73,Austria,Petrol,AUT
2021,675.73,Austria,Petrol,AUT
2021,662.4,Austria,Petrol,AUT
2021,629.06,Austria,Petrol,AUT
2021,614.9,Austria,Petrol,AUT
2021,611.56,Austria,Petrol,AUT
2021,614.9,Austria,Petrol,AUT
2021,613.23,Austria,Petrol,AUT
2021,615.73,Austria,Petrol,AUT
2021,610.73,Austria,Petrol,AUT
2021,617.4,Austria,Petrol,AUT
2021,619.06,Austria,Petrol,AUT
2021,618.23,Austria,Petrol,AUT
2021,608.23,Austria,Petrol,AUT
2021,604.06,Austria,Petrol,AUT
2021,599.9,Austria,Petrol,AUT
2021,579.9,Austria,Petrol,AUT
2021,575.73,Austria,Petrol,AUT
2021,566.56,Austria,Petrol,AUT
2021,554.9,Austria,Petrol,AUT
2021,552.4,Austria,Petrol,AUT
2021,548.23,Austria,Petrol,AUT
2021,546.56,Austria,Petrol,AUT
2021,549.06,Austria,Petrol,AUT
2021,555.73,Austria,Petrol,AUT
2021,540.73,Austria,Petrol,AUT
2021,537.4,Austria,Petrol,AUT
2021,531.56,Austria,Petrol,AUT
2021,525.73,Austria,Petrol,AUT
2021,522.4,Austria,Petrol,AUT
2021,518.23,Austria,Petrol,AUT
2021,524.06,Austria,Petrol,AUT
2021,507.4,Austria,Petrol,AUT
2021,494.9,Austria,Petrol,AUT
2021,482.4,Austria,Petrol,AUT
2021,469.06,Austria,Petrol,AUT
2021,463.23,Austria,Petrol,AUT
2021,448.23,Austria,Petrol,AUT
2021,450.73,Austria,Petrol,AUT
2021,443.23,Austria,Petrol,AUT
2021,421.56,Austria,Petrol,AUT
2020,404.06,Austria,Petrol,AUT
2020,404.06,Austria,Petrol,AUT
2020,404.9,Austria,Petrol,AUT
2020,394.9,Austria,Petrol,AUT
2020,396.56,Austria,Petrol,AUT
2020,378.23,Austria,Petrol,AUT
2020,378.23,Austria,Petrol,AUT
2020,384.06,Austria,Petrol,AUT
2020,387.4,Austria,Petrol,AUT
2020,393.23,Austria,Petrol,AUT
